gene,p-value,parental difference (B6-DBA)
Affy_10338688,0.47704905,-0.331
Affy_10338689,0.5374545,0.185
Affy_10338690,0.74559699,0.213
Affy_10338691,0.9520792,0.03
Affy_10338692,0.82797993,0.105
Affy_10338693,0.48421739,0.518
Affy_10338694,0.49805507,0.494
Affy_10338695,0.19188418,0.792
Affy_10338696,0.7764043,0.131
Affy_10338697,0.81490456,-0.098
Affy_10338698,0.17175276,0.654
Affy_10338699,0.73349708,-0.233
Affy_10338700,0.5687843,0.331
Affy_10338701,0.58380007,0.358
Affy_10338702,0.55239777,0.214
Affy_10338703,0.26188294,0.379
Affy_10338704,0.65213572,-0.216
Affy_10338705,0.69079934,-0.234
Affy_10338706,0.33978199,0.448
Affy_10338707,0.26813091,-0.503
Affy_10338708,0.9888935,-0.005
Affy_10338709,0.94161769,0.014
Affy_10338710,0.96969127,0.022
Affy_10338711,0.81666537,-0.096
Affy_10338712,0.19225709,-0.317
Anapc1,0.15690446,1.307
Affy_10338714,0.21542431,-0.531
Affy_10338715,0.44308687,-0.348
Affy_10338716,0.15927926,0.758
Affy_10338717,0.19609825,-0.685
Affy_10338718,0.93024997,0.062
Affy_10338719,0.65271054,-0.105
Affy_10338720,0.80988211,0.127
Affy_10338721,0.47415942,0.22
Affy_10338722,0.9790415,-0.014
Affy_10338723,0.47399837,0.254
Affy_10338724,0.88717224,-0.065
Affy_10338725,0.93822963,-0.039
Affy_10338726,0.81251628,-0.099
Affy_10338727,0.95633331,0.011
Affy_10338728,0.70734045,0.158
Affy_10338729,0.37448339,-0.464
Affy_10338730,0.14900759,0.314
Affy_10338731,0.76241383,-0.134
Affy_10338732,0.1372647,-1.384
Affy_10338733,0.88775702,0.081
Affy_10338734,0.041142104,-0.995
Affy_10338735,0.82669124,-0.07
Affy_10338736,0.41167121,-0.479
Affy_10338737,0.85819843,0.148
Affy_10338738,0.12266374,0.356
Affy_10338739,0.52136274,-0.302
Affy_10338740,0.26890081,0.617
Tmem234,0.40023775,0.682
Affy_10338742,0.81233143,0.076
Tmem234,0.9720835,0.019
Affy_10338744,0.68483076,-0.182
Affy_10338745,0.35507035,0.475
Affy_10338746,0.28912816,0.39
Affy_10338747,0.7502967,0.179
SINE_Affy_10338748,0.67478529,-0.122
Affy_10338749,0.029095022,-1.171
Affy_10338750,0.1775475,0.898
Affy_10338751,0.77529469,0.07
Affy_10338752,0.013661588,1.09
Affy_10338753,0.77698919,0.104
Affy_10338754,0.24986597,0.654
Affy_10338755,0.86024084,-0.089
