gene,p-value,parental difference (B6-DBA)
Affy_10338756,0.83393735,0.162
Affy_10338757,0.39317133,-0.313
Affy_10338758,0.90965116,0.044
Affy_10338759,0.711753,0.137
Affy_10338760,0.50490417,0.151
Affy_10338761,0.49580423,-0.272
Affy_10338762,0.92010471,-0.058
Sap30l,0.10157308,0.713
Affy_10338764,0.55665014,0.349
Affy_10338765,0.66772664,-0.154
Affy_10338766,0.77671441,0.138
Affy_10338767,0.90906008,0.024
Affy_10338768,0.64902923,0.288
Affy_10338769,0.77880899,-0.174
Affy_10338770,0.42854619,0.406
Affy_10338771,0.84425464,-0.099
Affy_10338772,0.13413902,0.748
Affy_10338773,0.66685123,0.098
Affy_10338774,0.37362308,0.495
Affy_10338775,0.65374172,-0.271
Affy_10338776,0.95929318,-0.025
Affy_10338777,0.27961526,-0.342
Affy_10338778,0.56693005,-0.231
Affy_10338779,0.26091796,0.301
Affy_10338780,0.55834674,-0.359
Affy_10338781,0.95559587,0.014
Affy_10338782,0.20232746,1.306
Affy_10338783,0.24954811,-0.499
Affy_10338784,0.1745124,0.583
Affy_10338785,0.53298818,-0.311
Affy_10338786,0.026709074,1.584
Affy_10338787,0.57190972,0.329
Affy_10338788,0.42669166,-0.467
Affy_10338789,0.64227603,-0.179
Hb1bp3,0.36941488,0.996
Affy_10338791,0.14693087,1.04
Affy_10338792,0.39550375,0.364
Rab7,0.72743499,-0.078
Affy_10338794,0.94360399,-0.05
Affy_10338795,0.47904107,0.258
Affy_10338796,0.25377441,-0.6
Affy_10338797,0.72039628,-0.209
Affy_10338798,0.88751728,-0.052
Affy_10338799,0.63174014,0.572
Affy_10338800,0.58636825,0.183
Affy_10338801,0.46812272,-0.259
Psmb5,0.55488461,-0.194
Affy_10338803,0.96134583,0.026
Affy_10338804,0.482407,0.176
Affy_10338805,0.18816826,0.564
Affy_10338806,0.58441957,0.255
Affy_10338807,0.63333183,0.326
Affy_10338808,0.27918562,-0.668
Affy_10338809,0.6741114,0.187
Affy_10338810,0.57296328,0.36
Affy_10338811,0.27765524,0.345
Sar1a,0.37635173,0.303
Affy_10338813,0.36495306,0.625
Affy_10338814,0.24710989,-0.343
Affy_10338815,0.68503647,0.104
Affy_10338816,0.79366352,-0.142
Affy_10338817,0.77529102,-0.149
Affy_10338818,0.39345604,0.818
Affy_10338819,0.83236949,-0.106
Affy_10338820,0.2258141,-0.57
Affy_10338821,0.71355799,-0.152
Affy_10338822,0.90716775,-0.057
Affy_10338823,0.72724592,-0.12
Affy_10338824,0.21083403,0.739
Affy_10338825,0.30551006,-0.316
Affy_10338826,0.082026471,1.033
Affy_10338827,0.70624235,-0.208
Affy_10338828,0.22975891,0.603
Affy_10338829,0.89513175,0.079
Affy_10338830,0.59498011,-0.213
Ctbp1,0.22116781,-0.342
Affy_10338832,0.87779508,-0.04
Affy_10338833,0.12710822,-0.672
Affy_10338834,0.65424863,-0.194
LOC433791,0.92745721,0.035
Affy_10338836,0.40108686,-0.265
Affy_10338837,0.80994451,0.082
Affy_10338838,0.70808319,0.229
Affy_10338839,0.28114994,0.573
Affy_10338840,0.51151498,-0.297
Affy_10338841,0.2619998,-0.312
Affy_10338842,0.69558254,0.155
Affy_10338843,0.34844363,-0.319
Affy_10338844,0.68084134,-0.19
Affy_10338845,0.039437156,1.098
Affy_10338846,0.93546161,0.058
Affy_10338847,0.43036863,0.231
Affy_10338848,0.50582883,-0.325
Affy_10338849,0.80018326,-0.111
Affy_10338850,0.88369839,0.059
Affy_10338851,0.66688954,0.178
Affy_10338852,0.57001084,-0.173
Affy_10338853,0.31308868,0.184
Affy_10338854,0.90805927,-0.082
Affy_10338855,0.24453005,0.827
Affy_10338856,0.86438474,0.118
Affy_10338857,0.82443985,0.146
Affy_10338858,0.64400019,-0.231
Itch,0.98573231,-0.007
Affy_10338860,0.71938827,0.113
Affy_10338861,0.016452116,-0.851
Affy_10338862,0.60537687,0.265
Affy_10338863,0.17531966,0.613
Affy_10338864,0.34688067,0.462
Affy_10338865,0.52978628,-0.171
Affy_10338866,0.46733338,0.534
Affy_10338867,0.58892843,0.33
Affy_10338868,0.72003592,0.132
Affy_10338869,0.023731817,-1.1
Affy_10338870,0.72957231,-0.119
Affy_10338871,0.47690861,-0.213
Affy_10338872,0.50417152,0.344
Affy_10338873,0.55954074,-0.258
Txndc12,0.38976259,0.359
Affy_10338875,0.6172774,-0.117
Affy_10338876,0.63312551,0.129
Affy_10338877,0.37640785,0.473
Affy_10338878,0.16181015,0.511
Affy_10338879,0.48195743,-0.262
Affy_10338880,0.92103295,-0.021
Affy_10338881,0.25126833,-0.734
Affy_10338882,0.66954815,0.217
Affy_10338883,0.3623906,-0.419
Affy_10338884,0.70400679,0.26
Affy_10338885,0.55601271,0.132
Affy_10338886,0.72007209,-0.229
Anapc2,0.48484197,-0.241
Affy_10338888,0.40330663,0.374
Affy_10338889,0.46928942,0.312
Affy_10338890,0.96547032,0.013
Affy_10338891,0.78739585,0.163
Affy_10338892,0.1990818,-0.38
Affy_10338893,0.31170389,-0.45
Affy_10338894,0.51596453,0.364
Affy_10338895,0.49131109,0.179
Affy_10338896,0.64860282,0.203
Affy_10338897,0.38209995,-0.44
Affy_10338898,0.51425571,0.272
Affy_10338899,0.92582196,0.047
Affy_10338900,0.759708,-0.207
Affy_10338901,0.70553895,0.222
Affy_10338902,0.57593896,-0.34
Affy_10338903,0.99407755,0.002
Affy_10338904,0.33442839,-0.508
Affy_10338905,0.22812688,0.365
Affy_10338906,0.90288776,0.023
Copa,0.16526085,1.654
Affy_10338908,0.91118053,-0.037
Affy_10338909,0.52665575,0.286
Affy_10338910,0.53485386,0.209
Affy_10338911,0.24482416,0.39
Affy_10338912,0.70951546,0.114
Affy_10338913,0.39498382,0.6
Affy_10338914,0.41096463,-0.788
Affy_10338915,0.94379671,0.041
Affy_10338916,0.57835879,-0.196
Affy_10338917,0.96120344,-0.024
Affy_10338918,0.73047507,-0.126
Affy_10338919,0.74758193,-0.11
Affy_10338920,0.67950604,-0.139
Affy_10338921,0.84187038,-0.082
Affy_10338922,0.027524071,1.029
Affy_10338923,0.74886008,0.166
Affy_10338924,0.41829167,0.454
Rab7,0.19438673,-0.402
Affy_10338926,0.41532881,0.434
Affy_10338927,0.38049986,0.402
Affy_10338928,0.5306269,-0.324
Affy_10338929,0.45810443,-0.281
Affy_10338930,0.31158399,-0.696
Affy_10338931,0.65148014,0.442
Affy_10338932,0.88109191,-0.074
Affy_10338933,0.32673765,0.572
Mtif2,0.33195602,-0.338
Affy_10338935,0.32739571,0.35
Affy_10338936,0.91220267,0.072
Affy_10338937,0.15491368,-0.378
Affy_10338938,0.51796238,0.181
Affy_10338939,0.56676454,-0.517
Affy_10338940,0.97918699,-0.012
Affy_10338941,0.13918233,-0.537
Affy_10338942,0.29571758,0.703
Affy_10338943,0.34272201,-0.532
Affy_10338944,0.40328022,-0.442
Affy_10338945,0.45405211,-0.537
Affy_10338946,0.82199,-0.172
Pfdn6,0.91765129,-0.034
Affy_10338948,0.24672509,0.9
Affy_10338949,0.90936873,0.05
Affy_10338950,0.77323331,-0.134
Affy_10338951,0.47818532,0.402
Affy_10338952,0.81761845,-0.148
Affy_10338953,0.25647189,-0.344
Huwe1,0.55715831,-0.118
Affy_10338955,0.46082359,-0.401
Affy_10338956,0.66315574,-0.178
Affy_10338957,0.59317397,-0.288
Affy_10338958,0.051681738,0.923
Affy_10338959,0.79001759,-0.285
Affy_10338960,0.65685591,-0.186
Affy_10338961,0.50174456,-0.333
Affy_10338962,0.89918157,0.055
Psma1,0.94733298,0.036
Affy_10338964,0.37610164,0.519
Affy_10338965,0.9146034,-0.034
Affy_10338966,0.73934583,-0.264
Affy_10338967,0.91029331,0.056
Affy_10338968,0.091857763,1.21
Affy_10338969,0.56067513,0.287
Affy_10338970,0.51495225,-0.254
Affy_10338971,0.20990707,-0.866
Affy_10338972,0.98400858,0.006
Affy_10338973,0.88874869,-0.064
Affy_10338974,0.66655387,-0.178
Affy_10338975,0.054645767,-0.647
Affy_10338976,0.70037832,0.269
Affy_10338977,0.85358424,0.059
Affy_10338978,0.51668381,0.287
Affy_10338979,0.46764829,-0.27
Affy_10338980,0.85199081,-0.124
Affy_10338981,0.69848493,0.244
Affy_10338982,0.77109499,0.172
Affy_10338983,0.29443454,-0.596
Affy_10338984,0.36160221,0.33
Affy_10338985,0.054164327,0.679
Affy_10338986,0.11847,0.436
Affy_10338987,0.85923861,-0.028
Affy_10338988,0.41396819,0.175
Affy_10338989,0.61488685,0.379
Affy_10338990,0.84999825,-0.118
Affy_10338991,0.14229938,0.464
Affy_10338992,0.86526095,-0.06
Affy_10338993,0.095991427,-0.677
Affy_10338994,0.73876051,-0.108
Affy_10338995,0.8964958,0.058
Affy_10338996,0.22854234,0.552
Affy_10338997,0.75758043,-0.156
Affy_10338998,0.39481826,0.369
Affy_10338999,0.50645618,0.476
Affy_10339000,0.47221946,0.333
Anapc1,0.13057823,1.377
Affy_10339002,0.33101318,0.412
Affy_10339003,0.94991431,0.025
Affy_10339004,0.87158937,0.078
Affy_10339005,0.34113904,-0.814
Affy_10339006,0.72343418,-0.116
Affy_10339007,0.030782366,1.716
Affy_10339008,0.25696614,-0.722
Affy_10339009,0.13983418,0.773
Affy_10339010,0.005730341,1.251
Affy_10339011,0.53212695,0.479
Affy_10339012,0.68247649,-0.189
Affy_10339013,0.15363121,0.938
Affy_10339014,0.64039275,0.273
Affy_10339015,0.17273685,0.715
Affy_10339016,0.76963582,-0.09
Affy_10339017,0.93343733,-0.035
Affy_10339018,0.86166713,-0.052
Affy_10339019,0.84640625,0.084
Affy_10339020,0.76831207,-0.093
Affy_10339021,0.063398799,0.869
Affy_10339022,0.7153814,-0.257
Affy_10339023,0.41837877,-0.303
Affy_10339024,0.92196007,-0.049
Affy_10339025,0.28237391,-0.386
Affy_10339026,0.7590952,0.202
Affy_10339027,0.8963848,-0.052
Affy_10339028,0.41521505,-0.457
Affy_10339029,0.67485383,-0.153
Affy_10339030,0.23700924,0.299
Affy_10339031,0.69792693,0.19
Affy_10339032,0.12898401,0.538
Affy_10339033,0.62018011,0.295
Affy_10339034,0.52616352,0.32
Affy_10339035,0.11681857,0.887
Affy_10339036,0.68476831,-0.109
Affy_10339037,0.90649408,-0.072
Affy_10339038,0.46983294,0.354
Affy_10339039,0.63997261,0.215
Affy_10339040,0.97676991,0.022
Affy_10339041,0.30014443,0.651
Affy_10339042,0.70115414,-0.188
Affy_10339043,0.35516235,0.593
Affy_10339044,0.77349177,-0.118
Affy_10339045,0.59892865,-0.226
Affy_10339046,0.46282784,0.308
Affy_10339047,0.65578239,0.146
Affy_10339048,0.61064697,0.269
Affy_10339049,0.45441144,-0.226
Affy_10339050,0.99468515,0.004
Affy_10339051,0.25609275,0.51
Affy_10339052,0.38990626,-0.144
Affy_10339053,0.063336398,0.85
Affy_10339054,0.86560217,-0.12
Affy_10339055,0.7588495,0.139
Affy_10339056,0.45337655,0.596
Affy_10339057,0.48937618,-0.255
Affy_10339058,0.75522421,-0.141
Affy_10339059,0.34664959,0.803
Affy_10339060,0.24627059,0.744
Affy_10339061,0.8229895,0.106
Affy_10339062,0.97181617,-0.009
Affy_10339063,0.27902358,0.53
Affy_10339064,0.95379189,-0.009
Canx,0.1796793,-0.224
Affy_10339066,0.60792289,0.256
Affy_10339067,0.11320699,-0.635
Affy_10339068,0.22476858,-0.156
Affy_10339069,0.49540605,-0.484
Affy_10339070,0.95384832,0.013
Cox18,0.13907182,-0.68
Affy_10339072,0.45586268,-0.353
Affy_10339073,0.70921596,-0.117
Affy_10339074,0.62280828,-0.262
Affy_10339075,0.40098213,-0.31
Affy_10339076,0.36059511,-0.415
Affy_10339077,0.93045943,-0.046
Affy_10339078,0.86545734,0.074
Affy_10339079,0.8427363,-0.118
Affy_10339080,0.052846215,-0.265
Affy_10339081,0.43412752,-0.66
Affy_10339082,0.39426135,0.671
Affy_10339083,0.37374199,0.556
Affy_10339084,0.84461441,-0.062
Affy_10339085,0.40761917,0.266
Affy_10339086,0.47445062,-0.372
Affy_10339087,0.9947593,-0.004
Dlg1,0.29212017,0.278
Affy_10339089,0.79714597,-0.121
Affy_10339090,0.41214148,0.518
Affy_10339091,0.83153929,0.106
Affy_10339092,0.91173624,0.049
Affy_10339093,0.58578214,-0.137
Affy_10339094,0.5916236,0.331
Affy_10339095,0.65751285,0.206
Affy_10339096,0.22152527,0.754
Affy_10339097,0.41350851,-0.128
Affy_10339098,0.7724952,-0.098
Affy_10339099,0.67606943,-0.15
Affy_10339100,0.69168397,0.235
Affy_10339101,0.67291936,0.136
Affy_10339102,0.9922409,0.007
Affy_10339103,0.42803703,-0.355
Affy_10339104,0.25745446,-0.362
Affy_10339105,0.54832413,0.207
Affy_10339106,0.61860316,-0.137
Affy_10339107,0.45792196,0.528
Affy_10339108,0.32087538,-0.551
Affy_10339109,0.14096737,-0.762
Affy_10339110,0.63840835,0.18
Affy_10339111,0.48685714,-0.28
Affy_10339112,0.39162042,0.262
Affy_10339113,0.74960116,-0.171
Affy_10339114,0.75299823,0.137
Affy_10339115,0.82210605,0.104
Affy_10339116,0.29373554,0.935
Affy_10339117,0.19195081,0.352
Affy_10339118,0.48140423,-0.47
Affy_10339119,0.44453571,0.364
Affy_10339120,0.78050971,-0.189
Affy_10339121,0.57265568,-0.279
Affy_10339122,0.75760174,-0.135
Affy_10339123,0.96629321,0.03
Vta1,0.29560452,0.645
Affy_10339125,0.77473612,0.132
Affy_10339126,0.76473154,0.147
Affy_10339127,0.97648824,0.01
Affy_10339128,0.93720593,-0.034
Affy_10339129,0.9264031,0.046
Affy_10339130,0.76564918,-0.154
Affy_10339131,0.75808259,0.095
Affy_10339132,0.86118447,-0.055
Affy_10339133,0.73264662,-0.208
Affy_10339134,0.65949675,-0.274
Affy_10339135,0.6340719,-0.298
Affy_10339136,0.89159694,-0.083
Affy_10339137,0.11892565,0.493
Affy_10339138,0.1980296,-0.446
Copa,0.93974855,-0.024
Affy_10339140,0.49777426,-0.148
Affy_10339141,0.59286189,-0.298
Affy_10339142,0.89045738,-0.064
Affy_10339143,0.93093712,0.037
Affy_10339144,0.72731487,0.212
Affy_10339145,0.11110527,0.919
Affy_10339146,0.8419655,-0.132
Affy_10339147,0.50902454,0.265
Affy_10339148,0.67363774,0.108
Affy_10339149,0.72669515,0.21
Affy_10339150,0.41440854,-0.38
Affy_10339151,0.11743154,-0.533
Affy_10339152,0.31984668,0.511
Affy_10339153,0.82157322,0.058
Affy_10339154,0.17920231,-0.842
Affy_10339155,0.40520896,-0.564
Affy_10339156,0.63023964,0.186
Affy_10339157,0.61382618,-0.231
Hb1bp3,0.68396637,0.29
Affy_10339159,0.99362228,0.004
Affy_10339160,0.15393704,-0.592
Affy_10339161,0.1992638,0.584
Affy_10339162,0.27467157,0.513
Anapc1,0.22578466,1.133
Affy_10339164,0.068787681,0.822
Psenen,0.63907186,-0.064
Affy_10339166,0.1551128,0.8
Affy_10339167,0.35243785,-0.952
Affy_10339168,0.67980184,-0.253
Affy_10339169,0.25644453,0.833
Affy_10339170,0.44317231,0.195
Affy_10339171,0.70640173,0.34
Affy_10339172,0.56731027,0.294
Affy_10339173,0.859133,-0.085
Affy_10339174,0.80919737,-0.103
Affy_10339175,0.90208443,0.053
Affy_10339176,0.79784655,-0.093
Affy_10339177,0.97829536,-0.01
Affy_10339178,0.76475567,0.132
Affy_10339179,0.58363266,0.256
Affy_10339180,0.78703317,-0.076
Affy_10339181,0.68593899,0.174
Affy_10339182,0.25582161,0.274
Affy_10339183,0.76151099,-0.115
Affy_10339184,0.78082661,0.122
Affy_10339185,0.9649208,0.008
Affy_10339186,0.98113613,-0.01
Affy_10339187,0.73296103,0.152
Affy_10339188,0.074720733,-0.786
Affy_10339189,0.5194939,0.339
Affy_10339190,0.5819196,0.342
Dlg1,0.47994129,-0.199
Affy_10339192,0.29520101,0.32
Affy_10339193,0.31677465,0.653
Affy_10339194,0.90694492,0.042
Affy_10339195,0.72922996,-0.22
Affy_10339196,0.063937977,0.87
Affy_10339197,0.30080622,0.664
Affy_10339198,0.54177529,-0.134
Affy_10339199,0.97328054,0.012
Affy_10339200,0.22350935,0.737
Affy_10339201,0.61422145,0.257
Affy_10339202,0.45199957,0.399
Affy_10339203,0.63981891,0.275
Affy_10339204,0.46292674,0.373
Affy_10339205,0.1909725,-0.399
Affy_10339206,0.37654431,-0.369
Affy_10339207,0.67540534,-0.121
Affy_10339208,0.3380574,-0.327
Hb1bp3,0.2701606,-0.567
Affy_10339210,0.89882628,0.081
Affy_10339211,0.30022188,0.554
Affy_10339212,0.96192993,-0.026
Affy_10339213,0.24930594,-0.982
Affy_10339214,0.094772789,0.716
Affy_10339215,0.9474948,0.026
Affy_10339216,0.74802145,-0.092
Affy_10339217,0.49635785,-0.335
Affy_10339218,0.801996,-0.171
Affy_10339219,0.72286893,0.2
Affy_10339220,0.59826644,-0.172
Copa,0.16574143,-0.256
Affy_10339222,0.17149541,-0.643
Affy_10339223,0.63388059,0.295
Affy_10339224,0.20780781,0.466
Affy_10339225,0.60075068,-0.091
Affy_10339226,0.35386467,0.421
Affy_10339227,0.15599136,1.056
Affy_10339228,0.79131874,0.138
Affy_10339229,0.36580837,-0.597
Affy_10339230,0.22255527,0.842
Affy_10339231,0.47476844,-0.365
Affy_10339232,0.87395855,0.073
Affy_10339233,0.79715422,0.144
Affy_10339234,0.92750549,0.032
Affy_10339235,0.33074255,-0.428
Affy_10339236,0.87915721,-0.046
Affy_10339237,0.50376544,-0.309
Affy_10339238,0.33705055,0.631
Affy_10339239,0.12492254,-0.358
Affy_10339240,0.46112904,-0.31
Affy_10339241,0.69543509,0.114
Affy_10339242,0.23081048,0.562
Affy_10339243,0.59330682,-0.322
Affy_10339244,0.75317748,0.176
Affy_10339245,0.17705527,0.315
Affy_10339246,0.95180437,-0.025
Affy_10339247,0.93384735,0.022
Affy_10339248,0.83097274,0.128
Affy_10339249,0.82002984,-0.05
Affy_10339250,0.16347399,0.518
Affy_10339251,0.99027833,0.002
Affy_10339252,0.11573883,-1.66
Affy_10339253,0.72563672,-0.148
Affy_10339254,0.40687669,0.421
Hb1bp3,0.40169324,0.588
Affy_10339256,0.9586638,0.028
Affy_10339257,0.21484657,0.466
Affy_10339258,0.87946586,0.057
Affy_10339259,0.61439367,0.244
Affy_10339260,0.62884496,0.258
Affy_10339261,0.44876724,-0.289
Affy_10339262,0.66071159,-0.248
Affy_10339263,0.96697636,0.017
Affy_10339264,0.30110941,-0.647
Affy_10339265,0.72064762,0.142
Affy_10339266,0.28106801,0.47
Affy_10339267,0.54479538,-0.204
Affy_10339268,0.49422466,0.315
Affy_10339269,0.46012,0.516
Affy_10339270,0.087156012,0.842
Affy_10339271,0.49519889,-0.207
Anapc1,0.1298844,0.747
Affy_10339273,0.84472223,0.119
Affy_10339274,0.31465921,0.384
Affy_10339275,0.6036121,0.258
Affy_10339276,0.81847327,0.138
Affy_10339277,0.78325458,-0.085
Affy_10339278,0.45614009,0.52
Affy_10339279,0.26023248,0.598
Affy_10339280,0.80823383,0.177
Affy_10339281,0.36609767,0.358
Affy_10339282,0.86438637,-0.145
Affy_10339283,0.49417362,0.388
Affy_10339284,0.87512589,-0.084
Affy_10339285,0.50342837,0.294
Affy_10339286,0.49576846,0.174
Affy_10339287,0.075345099,1.617
Affy_10339288,0.65737142,-0.222
Affy_10339289,0.07235997,1.124
Affy_10339290,0.88046626,0.052
Affy_10339291,0.35224211,-0.244
Affy_10339292,0.84678152,-0.139
Affy_10339293,0.26302268,0.868
Affy_10339294,0.90176816,0.046
Affy_10339295,0.23480483,-0.345
Affy_10339296,0.59562544,0.159
Affy_10339297,0.62819501,-0.187
Affy_10339298,0.21460952,0.302
Affy_10339299,0.7220532,0.165
Affy_10339300,0.84831125,-0.078
Affy_10339301,0.43469665,0.326
Affy_10339302,0.068559355,-0.693
Affy_10339303,0.27160032,-0.525
Affy_10339304,0.55226534,-0.248
Affy_10339305,0.43370902,0.47
Affy_10339306,0.6616897,-0.169
Cox18,0.20369322,-0.622
Affy_10339308,0.01304546,-0.887
Affy_10339309,0.36985883,-0.286
Affy_10339310,0.53101847,0.392
Nmt1,0.65702667,-0.176
Affy_10339312,0.41939935,0.457
Affy_10339313,0.41757721,0.367
Affy_10339314,0.2747231,-0.594
Affy_10339315,0.41879277,-0.234
Affy_10339316,0.47810443,-0.204
Affy_10339317,0.45165104,-0.32
Affy_10339318,0.93588044,-0.023
Affy_10339319,0.74755085,0.075
Affy_10339320,0.15375137,0.899
Affy_10339321,0.39862218,0.658
Affy_10339322,0.72257239,0.144
Affy_10339323,0.97111835,-0.03
Affy_10339324,0.97049157,0.018
Affy_10339325,0.74727288,0.144
Affy_10339326,0.59077172,0.201
Affy_10339327,0.54996341,-0.234
Affy_10339328,0.76365604,0.096
Affy_10339329,0.98972377,0.007
Affy_10339330,0.33593143,0.462
Affy_10339331,0.7564535,-0.102
Affy_10339332,0.84435328,-0.112
Affy_10339333,0.69541777,0.264
Affy_10339334,0.58668172,0.242
Affy_10339335,0.087819957,1.836
Affy_10339336,0.077246879,1.232
Affy_10339337,0.85595894,0.124
Affy_10339338,0.9016467,-0.057
Affy_10339339,0.060005414,1.166
Affy_10339340,0.33109702,0.613
Affy_10339341,0.11713543,0.33
Affy_10339342,0.21717341,0.464
Affy_10339343,0.96960094,-0.014
Affy_10339344,0.2509358,0.675
Affy_10339345,0.99163309,-0.006
Affy_10339346,0.79278721,-0.119
Affy_10339347,0.71931051,0.209
Affy_10339348,0.51121439,0.134
Affy_10339349,0.78811029,0.064
Affy_10339350,0.31949423,0.375
Affy_10339351,0.79948049,-0.127
Affy_10339352,0.96396934,-0.018
Affy_10339353,0.024795354,0.908
Affy_10339354,0.56414195,-0.226
Affy_10339355,0.73197795,-0.126
Affy_10339356,0.6645027,-0.141
Affy_10339357,0.14097351,0.746
Affy_10339358,0.10003013,-0.649
Affy_10339359,0.31454976,-0.68
Affy_10339360,0.67109071,0.134
Affy_10339361,0.49528656,-0.302
Affy_10339362,0.26028108,0.649
Affy_10339363,0.27165083,0.598
Affy_10339364,0.93253604,-0.063
Affy_10339365,0.56545707,0.102
Affy_10339366,0.82897607,0.075
Affy_10339367,0.47133075,-0.448
Affy_10339368,0.33419747,0.591
Affy_10339369,0.27841441,0.582
Affy_10339370,0.23069421,-0.666
Affy_10339371,0.70631299,0.2
Affy_10339372,0.47214812,0.441
Affy_10339373,0.041802006,0.841
Affy_10339374,0.15257215,0.269
Affy_10339375,0.7656369,-0.065
Affy_10339376,0.36592707,-0.348
Affy_10339377,0.72752947,-0.116
Affy_10339378,0.97818057,-0.008
Affy_10339379,0.18974281,-0.651
Fryl,0.370467,0.409
Affy_10339381,0.69597321,-0.136
Affy_10339382,0.9855348,0.004
Affy_10339383,0.90040008,0.082
Affy_10339384,0.46023031,-0.209
Affy_10339385,0.21266377,0.553
Affy_10339386,0.30320233,0.45
Affy_10339387,0.30402127,0.44
Atp6v0d1,0.67046344,0.087
Affy_10339389,0.24150636,0.557
Affy_10339390,0.25588911,-0.304
Affy_10339391,0.96486476,-0.012
Affy_10339392,0.89342436,-0.072
Affy_10339393,0.53398559,-0.33
Affy_10339394,0.28013119,0.533
Affy_10339395,0.35688826,-0.51
Affy_10339396,0.56206475,0.309
Affy_10339397,0.076922383,0.807
Affy_10339398,0.60404153,-0.256
Affy_10339399,0.21474022,0.804
Affy_10339400,0.68876928,0.205
Affy_10339401,0.19064399,0.772
Affy_10339402,0.28145206,0.326
Affy_10339403,0.72355271,-0.177
Affy_10339404,0.73186855,-0.108
Affy_10339405,0.96598608,-0.018
Affy_10339406,0.05323569,-0.593
Affy_10339407,0.91704862,-0.056
Affy_10339408,0.65360935,0.224
Affy_10339409,0.19727738,-0.69
Affy_10339410,0.40203517,0.324
Affy_10339411,0.76768836,0.078
Affy_10339412,0.94416351,-0.039
Affy_10339413,0.64895938,-0.274
Affy_10339414,0.96177337,0.019
LINE_Affy_10339415,0.80222721,0.073
Affy_10339416,0.064369931,-0.919
Affy_10339417,0.85053513,-0.103
Affy_10339418,0.27411797,-0.67
Affy_10339419,0.94015517,-0.018
Affy_10339420,0.2687788,0.482
Affy_10339421,0.67376048,0.089
Affy_10339422,0.96074354,-0.026
Affy_10339423,0.88129514,0.076
Affy_10339424,0.85332973,-0.103
Affy_10339425,0.67837614,0.228
Affy_10339426,0.38801887,-0.178
Affy_10339427,0.65595802,0.251
Affy_10339428,0.40879376,-0.32
Affy_10339429,0.09177354,0.922
Affy_10339430,0.31406041,0.396
Affy_10339431,0.46211767,-0.285
Affy_10339432,0.82002656,0.127
Affy_10339433,0.76162593,0.124
Affy_10339434,0.13098626,0.953
Affy_10339435,0.14432493,-0.642
Affy_10339436,0.53823115,-0.283
Affy_10339437,0.74952417,-0.156
Affy_10339438,0.037270422,-0.875
Affy_10339439,0.97445796,-0.012
Affy_10339440,0.064177799,1.06
Hb1bp3,0.79889547,-0.185
Affy_10339442,0.21388286,-0.663
Affy_10339443,0.29033034,-0.422
Affy_10339444,0.35149034,-0.514
Affy_10339445,0.81834529,0.073
Affy_10339446,0.98190951,0.006
Psap,0.52472879,-0.137
Affy_10339448,0.92651571,-0.044
Affy_10339449,0.48931501,0.437
Affy_10339450,0.89530526,0.051
Affy_10339451,0.043080741,1.078
Affy_10339452,0.7011417,0.172
Dlg1,0.45146318,-0.134
Affy_10339454,0.90967599,-0.035
Affy_10339455,0.46881356,-0.168
Affy_10339456,0.74675901,0.114
