target,gene,p-value,parental difference (B6-DBA)
1416193_at,Car1,0.77832756,0.0392
1416194_at,Cyp4b1,0.49477692,-0.0894
1416195_at,Pps,0.16410936,-0.136
1416196_at,Rpsa,0.72721557,0.0768
1416197_at,Snrp1c,0.49346458,0.1994
1416198_at,Th1l,0.39810797,-0.1128
1416199_at,Kifc3,0.86543834,-0.0318
1416200_at,Il33,0.13160244,0.6752
1416201_at,Crk,0.37758427,0.1376
1416202_at,Bcap37,0.28813887,-0.1076
1416203_at,Aqp1,0.88637186,-0.0426
1416204_at,Gpd1,0.45543499,0.1548
1416205_at,Glb1,0.71516464,0.0734
1416206_at,Sipa1,0.59210315,-0.1106
1416207_at,Taz,0.49533231,-0.0964
1416208_at,Usp14,0.95999627,-0.0084
1416209_at,Glud1,0.29322238,-0.1682
1416210_at,Imp3,0.49355758,-0.0924
1416211_a_at,Ptn,0.040252661,0.4028
1416212_at,Magoh,0.64489442,-0.077
1416213_x_at,Surf4,0.25789202,-0.1298
1416214_at,Mcm4,0.79021042,-0.0394
1416215_at,Gosr1,0.55776645,-0.076
1416216_at,Reps1,0.61656515,-0.0694
1416217_a_at,Rpl37a,0.3093067,-0.0968
1416218_x_at,Rpl37a,0.47077215,-0.0882
1416219_at,Rpl19,0.27537472,-0.1176
1416220_at,Spcs1,0.34680988,-0.0932
1416221_at,Fstl1,0.97087102,0.0092
1416222_at,Nsdhl,0.16176077,-0.2164
1416223_at,Sh3bp5l,0.57003305,-0.079
1416224_at,Zbtb17,0.78805887,-0.0544
1416225_at,Adh1,0.61472726,0.1026
1416226_at,Arpc1b,0.92436451,-0.017
1416227_at,Arpc1b,0.71022902,-0.0594
1416228_at,Pin1,0.84542064,-0.025
1416229_at,Rfk,0.23950566,-0.5966
1416230_at,Rfk,0.2576629,-0.5478
1416231_at,Vac14,0.66317059,-0.1114
1416232_at,Olig2,0.47130948,0.1332
1416233_at,Eif3s2,0.18476727,-0.1388
1416234_at,Lrrc59,0.70769095,0.0434
1416235_at,Lrrc59,0.17968704,0.1964
1416236_a_at,Eva1,0.28698697,-0.346
1416237_at,Eva1,0.28782229,-0.1578
1416238_at,Tie1,0.65974151,-0.1674
1416239_at,Ass1,0.96012696,-0.0272
1416240_at,Psmb7,0.40300897,-0.1372
1416241_at,Sec13,0.63524904,-0.0646
1416242_at,Klhl13,0.93217381,0.0152
1416243_a_at,Rpl35,0.27259632,-0.1274
1416244_a_at,Cnbp1,0.73458731,-0.0476
1416245_at,Aurkaip1,0.1335906,-0.1666
1416246_a_at,Coro1a,0.862305,-0.0344
1416247_at,Dctn3,0.37913487,0.322
1416248_at,Nadk,0.96670403,-0.0056
1416249_at,Nadk,0.71240422,0.0496
1416250_at,Btg2,0.2319918,-0.4408
1416251_at,Mcm6,0.44614772,0.5946
1416252_at,Stk38,0.25657707,-0.1188
