target,gene,p-value,parental difference (B6-DBA)
1424094_at,Nek9,0.71386263,-0.0452
1424095_at,Rtcd1,0.53514232,-0.0816
1424096_at,Krt5,0.64972477,-0.068
1424097_at,Elovl7,0.55290422,-0.291
1424098_at,Elovl7,0.29894694,0.3662
1424099_at,Gpx8,0.94133066,-0.0208
1424100_s_at,Cend1,0.63832771,-0.079
1424101_at,Hnrpl,0.92748882,-0.031
1424102_at,Apg4b,0.73328032,-0.0502
1424103_at,Apg4b,0.46852183,-0.1846
1424104_at,Gcipip,0.60420232,-0.0698
1424105_a_at,Pttg1,0.28478345,2.4854
1424106_at,Jkamp,0.6144763,-0.0628
1424107_at,Kif18a,0.66218756,-0.0782
1424108_at,Glo1,0.19091287,-0.9652
1424109_a_at,Glo1,0.23505736,-0.8388
1424110_a_at,Nme1,0.58128381,-0.0834
1424111_at,Igf2r,0.45755481,-0.1384
1424112_at,Igf2r,0.33585641,0.2144
1424113_at,Lamb1-1,0.84435397,-0.0678
1424114_s_at,Lamb1-1,0.55040504,-0.152
1424115_at,Ppp5c,0.44677576,-0.1214
1424116_x_at,Ppp5c,0.6156358,-0.082
1424117_at,C19orf56,0.47079035,-0.2932
1424118_a_at,Spc25,0.99730872,0.0012
1424119_at,Prkab1,0.19335956,-0.2454
1424120_at,Rnf8,0.66310684,-0.0644
1424121_at,Commd1,0.87920378,-0.0354
1424122_s_at,Commd1,0.97673168,-0.0046
1424123_at,Flvcr2,0.56353229,-0.0914
1424124_at,Mospd2,0.84909706,0.0274
1424125_at,Kcnk13,0.71678687,0.0568
1424126_at,Alas1,0.18240494,-0.2042
1424127_at,Eya2,0.25353365,-0.343
1424128_x_at,Aurkb,0.42124382,0.1926
1424129_at,Mfsd1,0.8870439,0.019
1424130_a_at,Ptrf,0.79954969,-0.0542
1424131_at,Col6a3,0.30590399,-0.2548
1424132_at,Hras1,0.73443777,-0.0832
1424133_at,Tmem98,0.5906694,0.1204
1424134_at,Rspry1,0.13761884,0.462
1424135_at,4930470D19Rik,0.68020472,0.0996
1424136_a_at,Ppih,0.23555344,-0.2422
1424137_at,Gprin1,0.93973876,-0.028
1424138_at,Rhbdf1,0.25298956,-0.4276
1424139_at,Rap1a,0.59785774,-0.1096
1424140_at,Gale,0.70432307,-0.057
1424141_at,Hectd1,0.86673899,-0.0134
1424142_at,Ikbkap,0.25062469,0.233
1424143_a_at,Cdt1,0.44459926,-0.2054
1424144_at,Cdt1,0.99448092,0.0018
1424145_at,Prr3,0.92602068,-0.0156
1424146_at,Gpr37l1,0.67796399,0.08
1424147_at,Ahsa1,0.49349799,0.1152
1424148_a_at,Stap2,0.89842983,-0.0188
1424149_at,1110014D18Rik,0.84143673,0.0246
1424150_at,Gdpd5,0.36784826,-0.1494
1424151_at,Jtv1,0.52512629,-0.0898
1424152_at,Sall4,0.89195206,-0.0266
1424153_s_at,Sall4,0.85933549,0.0262
1424154_a_at,Isca2,0.50136013,-0.0974
1424155_at,Fabp4,0.44260598,-0.1458
1424156_at,Rbl1,0.5254551,-0.1748
1424157_at,Ehd2,0.97639675,-0.005
1424158_at,Ehd2,0.77089211,-0.0478
1424159_at,Fam134c,0.71390464,-0.173
1424160_at,Alg5,0.37097611,-0.1304
1424161_at,Ddx27,0.31971962,-0.1936
1424162_at,Trim29,0.96107099,-0.009
1424163_at,Rmnd5b,0.92835703,-0.0128
1424164_at,Mrpl50,0.43187239,0.177
1424165_a_at,Sharpin,0.28611198,-0.1722
1424166_at,Msh3,0.57845079,-0.109
1424167_a_at,Pmm1,0.41526692,0.178
1424168_a_at,Capzb,0.95091719,-0.0076
1424169_at,Tax1bp3,0.94109356,0.0098
1424170_at,Phf5a,0.94973854,-0.0094
1424171_a_at,Hagh,0.19153778,-0.278
1424172_at,Hagh,0.33977044,-0.0944
1424173_at,2810475A17Rik,0.40156884,0.2786
1424174_at,Shkbp1,0.91064168,0.018
1424175_at,Tef,0.40320197,-0.1552
1424176_a_at,Anxa4,0.22051317,-0.6546
1424177_at,Tmem38a,0.86137092,0.0374
1424178_at,Tmem38a,0.95898636,-0.0182
1424179_at,Plekhj1,0.90347171,-0.0486
1424180_a_at,Thrap4,0.41604697,-0.1246
1424181_at,06-Sep,0.90226453,-0.0242
1424182_at,Acat1,0.92829083,0.0134
1424183_at,Acat1,0.7548364,-0.034
1424184_at,Acadvl,0.16976683,-0.1914
1424185_a_at,Morf4l1,0.95754994,-0.009
1424186_at,Ccdc80,0.35838491,-0.4014
1424187_at,2610001E17Rik,0.47547522,-0.1044
1424188_at,Rabgap1,0.53454313,-0.047
1424189_at,Pigc,0.55951431,-0.0812
1424190_at,Pigc,0.47675426,0.12
1424191_a_at,Tmem41a,0.48212742,-0.1388
1424192_at,1500011H22Rik,0.20613692,-0.1378
1424193_at,Pwp2h,0.25355287,-0.1076
1424194_at,BC025872,0.7650541,-0.0596
1424195_a_at,Inpp5d,0.85478789,-0.0286
1424196_at,Yipf1,0.87031261,-0.0254
1424197_s_at,Fance,0.86354426,-0.0292
1424198_at,Dlg5,0.5422308,0.1196
1424199_at,Seh1l,0.19462999,-0.1108
1424200_s_at,Seh1l,0.37823122,-0.11
1424201_a_at,Seh1l,0.52409894,-0.1312
1424202_at,Seh1l,0.38815414,0.2292
1424203_at,Ncln,0.79979811,-0.0622
1424204_at,Mrpl13,0.66562933,-0.055
1424205_at,Smarca5,0.44617298,0.1248
1424206_at,Smarca5,0.43029832,0.1078
1424207_at,Smarca5,0.24545936,0.3044
1424208_at,Ptger4,0.52620257,-0.1466
1424209_at,Rarsl,0.40121924,-0.0956
1424210_at,Spfh1,0.79533134,-0.0494
1424211_at,Bmscmcp,0.63452801,-0.0648
1424212_at,C12orf44,0.66993681,-0.061
1424213_at,Ubiad1,0.72175262,0.0716
1424214_at,Parm1,0.98183219,-0.0056
1424215_at,Fundc1,0.97545486,-0.0034
1424216_a_at,Papola,0.93486907,0.0152
1424217_at,Papola,0.96216707,0.0092
1424218_a_at,Creb3l4,0.69103565,0.0748
1424219_at,A530065E19Rik,0.39093321,-0.151
1424220_a_at,Porcn,0.40525748,-0.1234
1424221_at,Susd4,0.70397375,0.076
1424222_s_at,Rad23b,0.16804366,0.6908
1424223_at,Mtp18,0.82056983,-0.0514
1424224_at,Asb8,0.64617712,-0.0462
1424225_at,Asb8,0.93182411,-0.0112
1424226_at,9030617O03Rik,0.64933907,0.1244
1424227_at,Polr3h,0.19320948,-0.2084
1424228_at,Polr3h,0.73773959,-0.0574
1424229_at,Dyrk3,0.94650375,0.0146
1424230_at,Exoc6,0.948346,-0.0106
1424231_s_at,Exoc6,0.98317268,0.0028
1424232_a_at,BC025546,0.80582806,0.0466
1424233_at,Meox2,0.9799958,0.0058
1424234_s_at,Meox2,0.86493714,-0.0352
1424235_at,Ormdl2,0.48600346,0.1312
1424236_at,Tbc1d10b,0.67389874,-0.0722
1424237_at,Zfp639,0.50249746,-0.0582
1424238_at,Sirt7,0.89826101,0.0176
1424239_at,2310066E14Rik,0.62196763,-0.1182
1424240_at,Arfip2,0.82587862,-0.021
1424241_at,Slc30a6,0.44549319,-0.1082
1424242_at,Bphl,0.58740287,-0.0728
1424243_at,BC016198,0.97453032,-0.0052
1424244_at,Rwdd4a,0.48811086,0.1076
1424245_at,Ces2,0.57219762,-0.0896
1424246_a_at,Tes,0.52505246,0.1258
1424247_at,Rab6ip2,0.7554411,-0.06
1424248_at,Arpp21,0.79379568,-0.036
1424249_a_at,Arhgap9,0.64739712,-0.086
1424250_a_at,Arhgef3,0.87488916,-0.036
1424251_a_at,Hnrpdl,0.48039019,-0.1096
1424252_at,Hnrpdl,0.62034217,-0.0534
1424253_at,1810073G14Rik,0.55930214,0.1594
1424254_at,Ifitm1,0.86981627,0.0508
1424255_at,Supt5h,0.75017323,-0.0504
1424256_at,Rdh12,0.83096146,-0.0438
1424257_at,Cdk7,0.98049577,-0.0048
1424258_at,Polr2d,0.21912341,-0.177
1424259_at,2400010G15Rik,0.42750462,-0.1948
1424260_at,Slc12a1,0.96549101,-0.009
1424261_at,Zfp672,0.35516584,-0.1272
1424262_at,Iba2,0.8704497,0.0452
1424263_at,2810003C17Rik,0.69930909,-0.0652
1424264_at,Med6,0.73612652,-0.0354
1424265_at,Npl,0.96759164,-0.0104
1424266_s_at,AU018778,0.76703289,0.0534
1424267_at,1810043G02Rik,0.297965,-0.1722
1424268_at,Smox,0.81158251,0.0446
1424269_a_at,Myl6,0.19669166,-0.1228
1424270_at,Dclk1,0.21393992,0.662
1424271_at,Dclk1,0.88974558,0.0298
1424272_at,Stat3,0.88415674,0.0218
1424273_at,Cyp2c70,0.89659506,0.0224
1424274_at,Uso1,0.86222815,-0.0128
1424275_s_at,Trim41,0.23621833,-0.15
1424276_at,Snx16,0.61355692,-0.0754
1424277_at,1110020L19Rik,0.26740616,-0.382
1424278_a_at,Birc5,0.79738031,-0.0866
1424279_at,Fga,0.80420007,0.0538
1424280_at,Mospd1,0.63264783,0.0562
1424281_at,Ubap2,0.55830836,-0.097
1424282_at,Pet112l,0.54243763,-0.078
1424283_at,Jtb,0.67179904,-0.0846
1424284_at,Pomt1,0.51372827,-0.1022
1424285_s_at,Arl6ip4,0.056646606,-0.273
1424286_at,Prkx,0.37118063,-0.1064
1424287_at,Prkx,0.6532041,0.0908
1424288_at,Bcdin3,0.52623288,-0.0948
1424289_at,BC010311,0.82425747,0.0378
1424290_at,BC010311,0.44541644,0.1066
1424291_at,Nup93,0.35909378,-0.1858
1424292_at,Depdc1a,0.78485436,0.0434
1424293_s_at,Tmem55a,0.75862935,0.0362
1424294_at,Ppp4r1,0.36810719,-0.1266
1424295_at,Dppa3,0.55158943,-0.1158
1424296_at,Gclc,0.1256306,0.4034
1424297_at,Zfp282,0.69808975,-0.069
1424298_at,Zfp282,0.57580383,-0.0824
1424299_at,Oma1,0.26174653,-0.1562
1424300_at,Gemin6,0.80717339,-0.036
1424301_at,Zfp219,0.58773471,-0.0858
1424302_at,Lilrb2,0.78257527,-0.0624
1424303_at,AV216087,0.72116657,0.1028
1424304_at,Tpcn2,0.868521,0.0288
1424305_at,Igj,0.47282578,-0.1798
1424306_at,Elovl4,0.46495797,-0.2112
1424307_at,Arhgap1,0.92944725,0.0138
1424308_at,Slc24a3,0.48691591,-0.1624
1424309_a_at,Mocs2,0.98224473,0.003
1424310_at,Mocs2,0.49882115,-0.1286
1424311_at,Carkd,0.49376141,-0.0964
1424312_at,Adipor1,0.47976207,-0.142
1424313_a_at,Ndufs7,0.42298204,-0.1618
1424314_at,Prpf3,0.88274948,0.0226
1424315_at,1110004E09Rik,0.12067032,-0.353
1424316_at,Slc25a19,0.87506908,-0.0196
1424317_at,2310075G12Rik,0.36075714,0.2768
1424318_at,Hspc159,0.92959745,-0.0102
1424319_at,Oraov1,0.49810725,-0.0852
1424320_a_at,Traf7,0.42465,-0.1072
1424321_at,Rfc4,0.6430657,-0.0924
1424322_at,Apex2,0.90125497,0.024
1424323_at,A2bp1,0.62193193,-0.115
1424324_at,A930014I12Rik,0.92213751,-0.0158
1424325_at,A930014I12Rik,0.63268732,0.1722
1424326_at,Lemd2,0.76906293,-0.0522
1424327_at,3200002M19Rik,0.6760952,-0.096
1424328_s_at,3200002M19Rik,0.99570512,0.0012
1424329_a_at,Prrg2,0.36774599,-0.1508
1424330_at,Senp1,0.39198582,-0.2056
1424331_at,Rab40c,0.27498103,-0.1384
1424332_at,Rab40c,0.78664716,0.0608
1424333_at,Rg9mtd1,0.76080692,-0.0534
1424334_at,Tspan17,0.22422441,-0.1976
1424335_at,Ppcdc,0.71020093,-0.0512
1424336_at,8430432M10Rik,0.72646931,-0.0446
1424337_at,Snx15,0.99776788,-0.0002
1424338_at,Slc6a13,0.49641687,-0.2128
1424339_at,Oasl1,0.89344988,-0.0262
1424340_at,Lrrc48,0.33688683,-0.1996
1424341_s_at,Pcdhac2,0.660824,-0.0818
1424342_at,Fyttd1,0.40324362,0.2102
1424343_a_at,Eif1a,0.59535115,-0.079
1424344_s_at,Eif1a,0.16815473,-0.1788
1424345_s_at,Ube2m,0.42163466,0.2246
1424346_at,Ppp6c,0.90392376,0.0248
1424347_at,Ppp6c,0.45491657,-0.096
1424348_at,1110007A13Rik,0.95485521,0.0076
1424349_a_at,Lpgat1,0.062925804,0.7022
1424350_s_at,Lpgat1,0.13680979,0.3942
1424351_at,Wfdc2,0.32359705,-0.1392
1424352_at,Cyp4a12a,0.66181201,0.0682
1424353_at,Lrpprc,0.4614724,0.281
1424354_at,1110007F12Rik,0.59016117,0.1206
1424355_a_at,Sin3b,0.64036244,-0.109
1424356_a_at,Metrnl,0.24811608,-0.2748
1424357_at,Tmem45b,0.78786868,0.0362
1424358_at,Ube2e2,0.47656412,-0.077
1424359_at,Oplah,0.95649419,-0.0156
1424360_at,BC019943,0.58801475,0.1142
1424361_at,C8orf41,0.21041476,-0.39
1424362_at,D830019K17Rik,0.98148466,-0.004
1424363_at,Mycbpap,0.49766997,-0.1086
1424364_a_at,Ucrc,0.89118373,-0.0268
1424365_at,C4orf3,0.50528644,-0.1446
1424366_at,Tmem15,0.65952324,-0.0506
1424367_a_at,Homer2,0.54541276,0.2654
1424368_s_at,Ubqln1,0.67855648,0.035
1424369_at,Psmf1,0.53899359,-0.1184
1424370_s_at,Psmf1,0.45378177,-0.17
1424371_at,Psmf1,0.74555304,0.0678
1424372_at,Mrpl32,0.27585666,-0.1344
1424373_at,Armcx3,0.53375938,-0.1098
1424374_at,Gimap4,0.79045066,-0.0416
1424375_s_at,Gimap4,0.25478266,-0.2394
1424376_at,Cdc42ep1,0.67323316,0.126
1424377_at,BC003885,0.79867314,-0.0288
1424378_at,Ldlrap1,0.89341499,-0.026
1424379_at,Car11,0.65813436,-0.078
1424380_at,Vps37b,0.67607762,-0.0728
1424381_at,Sf4,0.41631752,-0.1142
1424382_at,Rcn3,0.91964018,-0.0174
1424383_at,Tmem51,0.26046525,-0.1828
1424384_a_at,Znrf1,0.70992252,0.0634
1424385_at,Gon4l,0.21024222,-0.3458
1424386_at,Reep2,0.79541606,-0.0608
1424387_at,Prlpc3,0.79191379,-0.0488
1424388_at,Cluap1,0.45322405,-0.0902
1424389_at,Nupl1,0.97405598,-0.0052
1424390_at,Nupl1,0.96156892,-0.0056
1424391_at,Nrd1,0.79069435,-0.03
1424392_at,Adhfe1,0.42550489,0.1172
1424393_s_at,Adhfe1,0.24716912,0.1746
1424394_at,Selm,0.76256918,-0.0856
1424395_at,Asrgl1,0.92027264,-0.0146
1424396_a_at,Asrgl1,0.79328671,-0.0396
1424397_at,Dhx36,0.98488755,0.002
1424398_at,Dhx36,0.25761734,0.4422
1424399_at,Uck1,0.39512627,-0.126
1424400_a_at,Fthfd,0.4435688,0.1518
1424401_at,Fthfd,0.90121016,-0.0262
1424402_at,Rufy3,0.19392065,0.5632
1424403_a_at,Rufy3,0.14523523,0.2524
1424404_at,0610040J01Rik,0.94422221,0.0134
1424405_at,Mbip,0.66384126,-0.0652
1424406_at,Bcl2l13,0.84256525,-0.0296
1424407_s_at,Cbx6,0.33474616,-0.1922
1424408_at,Lims2,0.44962398,-0.141
1424409_at,Cldn23,0.41446617,-0.549
1424410_at,Ttc8,0.62960834,-0.0628
1424411_at,Kua,0.81791259,0.0354
1424412_at,Ogfrl1,0.32430434,0.4052
1424413_at,Ogfrl1,0.52120963,0.0996
1424414_at,Ogfrl1,0.59619594,0.1216
1424415_s_at,Spon1,0.31118937,0.5822
1424416_at,Nkiras2,0.54056128,-0.088
1424417_at,2210415M20Rik,0.87154093,0.029
1424418_at,BC010801,0.23993187,-0.1838
1424419_at,E130306I01Rik,0.45654535,-0.1002
1424420_at,Ccpg1,0.87344807,0.023
1424421_at,A930017E24Rik,0.35222052,-0.1198
1424422_s_at,Lenep,0.88314002,-0.0266
1424423_at,Lenep,0.83307583,-0.044
1424424_at,Slc39a1,0.13430788,-0.2784
1424425_a_at,Mtap,0.41048316,-0.1298
1424426_at,Mtap,0.7546928,-0.058
1424427_at,Tada1l,0.22010306,0.4254
1424428_at,Ccdc95,0.79878253,-0.0422
1424429_s_at,Ino80e,0.65472519,-0.0688
1424430_at,4933412H03Rik,0.26284292,-0.1708
1424431_at,Galnact2,0.82051325,-0.0334
1424432_at,Ubtd1,0.93941547,-0.0104
1424433_at,Msrb2,0.92717321,-0.0154
1424434_at,Mettl22,0.33955689,-0.2388
1424435_a_at,Gart,0.14932884,-0.2344
1424436_at,Gart,0.33104165,-0.3896
1424437_s_at,Abcg4,0.67192566,-0.0908
1424438_a_at,Leprot,0.48817096,0.0732
1424439_at,1810065E05Rik,0.9454867,-0.0084
1424440_at,Mrps6,0.52943171,-0.1168
1424441_at,Slc27a4,0.50806659,-0.1014
1424442_a_at,Pja2,0.096604658,0.5692
1424443_at,Tm6sf1,0.7685237,0.0786
1424444_a_at,1600014C10Rik,0.94425823,-0.008
1424445_at,Tm4sf5,0.096973762,-0.6602
1424446_at,Armc7,0.80223543,0.0526
1424447_at,1700030K09Rik,0.49164407,0.1414
1424448_at,Trim6,0.61812474,0.0756
1424449_at,Frs3,0.15247471,-0.2134
1424450_at,Gprc5c,0.87326931,0.0214
1424451_at,Acaa1b,0.34520456,-0.229
1424452_at,Sltm,0.91224086,-0.0124
1424453_at,Pcyt1a,0.5354084,0.0992
1424454_at,Tmem87a,0.21887623,-2.5112
1424455_at,Gprasp1,0.44135104,-0.091
1424456_at,Pvrl2,0.92728955,0.0274
1424457_at,Apbb3,0.30970447,-0.1564
1424458_at,Jmjd2c,0.86846151,0.0228
1424459_at,Lpcat1,0.91193661,-0.023
1424460_s_at,Aytl2,0.68134665,-0.0446
1424461_at,Dctn2,0.41807652,-0.1052
1424462_at,Ergic2,0.8571252,-0.0342
1424463_at,Mfsd6,0.69912767,0.0544
1424464_s_at,Mfsd6,0.28852013,0.4064
1424465_at,Dnajc3,0.84577795,-0.0304
1424466_at,Ipo9,0.24530191,-0.323
1424467_at,Phldb1,0.65271061,0.093
1424468_s_at,Phldb1,0.47807562,0.1396
1424469_a_at,Cpsf4,0.038801034,-0.375
1424470_a_at,Rapgef3,0.64068014,0.1538
1424471_at,Rapgef3,0.97244502,-0.0102
1424472_at,Nol6,0.87768292,-0.0274
1424473_at,Polr2h,0.48440813,-0.1274
1424474_a_at,Camkk2,0.72220359,0.1136
1424475_at,Camkk2,0.40963904,0.1878
1424476_at,Camkk2,0.46186041,0.4402
1424477_at,BC019731,0.85286769,-0.0254
1424478_at,Bbs2,0.61092051,-0.1038
1424479_at,Cst8,0.39700902,-0.1324
1424480_s_at,Akt2,0.85380798,-0.0422
1424481_s_at,MGC38735,0.65961888,-0.0904
1424482_at,Arhgef7,0.99847036,0.0004
1424483_at,Mobk1b,0.99042532,-0.0016
1424484_at,Mobk1b,0.33873596,0.1506
1424485_at,Angptl3,0.99213082,0.0016
1424486_a_at,Txnrd1,0.38339671,0.1998
1424487_x_at,Txnrd1,0.31636562,0.2328
1424488_a_at,Ppa2,0.18910516,0.2314
1424489_a_at,Trit1,0.21962641,-0.1858
1424490_at,Zfp428,0.47786487,-0.1536
1424491_at,Art1,0.43566007,-0.0774
1424492_at,Trpc2,0.16475009,-0.2694
1424493_s_at,AI746432,0.79836185,-0.0344
1424494_s_at,Flywch2,0.26218918,-0.3072
1424495_a_at,Cklf,0.88269679,0.0554
1424496_at,5133401N09Rik,0.83958124,-0.0336
1424497_at,1110032O16Rik,0.29033224,-0.2072
1424498_at,Atl3,0.78605703,-0.0518
1424499_s_at,Atl3,0.84766758,-0.0358
1424500_at,Utp6,0.79297242,-0.1014
1424501_at,Utp6,0.85906525,0.022
1424502_at,Oit1,0.65642606,-0.0664
1424503_at,Rab22a,0.81239553,-0.0338
1424504_at,Rab22a,0.5168893,0.1586
1424505_at,0610042C05Rik,0.65842893,-0.0732
1424506_at,Zfp768,0.38606074,-0.169
1424507_at,Rin1,0.51350276,-0.2158
1424508_at,Ttc5,0.21303999,-0.6884
1424509_at,MGC48079,0.97418779,0.0068
1424510_at,Nudt6,0.51403173,0.253
1424511_at,Aurka,0.77550267,-0.0464
1424512_a_at,Txndc9,0.62203658,0.0876
1424513_at,Atp6v0a2,0.64834498,0.07
1424514_at,Rnf126,0.65549889,-0.0748
1424515_at,BB440272,0.14747558,0.1874
1424516_at,B230354K17Rik,0.68433285,0.0882
1424517_at,Ccdc12,0.71509181,-0.0744
1424518_at,Apol9a,0.67370876,0.0648
1424519_at,Gm169,0.20878751,-0.1468
1424520_at,2010305A19Rik,0.058889276,-0.267
1424521_at,Zfand2b,0.61684967,-0.0828
1424522_at,Heatr1,0.92288391,0.0096
1424523_at,Elmo1,0.65731091,-0.0672
1424524_at,1200002N14Rik,0.83696163,-0.047
1424525_at,Grp,0.72296852,-0.2206
1424526_a_at,Tgds,0.6995751,-0.05
1424527_at,Ppp2r2d,0.91656301,-0.012
1424528_at,Cgref1,0.46566449,-0.1718
1424529_s_at,Cgref1,0.28159886,-0.1672
1424530_at,Sec14l2,0.90487644,-0.0194
1424531_a_at,Tcea3,0.67587575,0.0926
1424532_at,Ylpm1,0.91546396,0.0146
1424533_a_at,3110023B02Rik,0.73989521,-0.029
1424534_at,Mmd2,0.4457372,0.138
1424535_at,4930521E07Rik,0.93109438,-0.0134
1424536_at,Oas1e,0.53852445,-0.1256
1424537_at,1700017G21Rik,0.72370534,0.0594
1424538_at,Ubl4,0.87657641,0.0246
1424539_at,Ubl4,0.70230847,0.038
1424540_at,Hipk1,0.71408835,0.0678
1424541_at,Tmem70,0.45104619,0.1548
1424542_at,S100a4,0.80013917,-0.0584
1424543_at,Nck1,0.96893323,0.0052
1424544_at,Nrbp2,0.96629061,-0.0078
1424545_at,C16orf91,0.35093016,-0.196
1424546_at,C16orf91,0.7595907,0.0506
1424547_at,Car10,0.85099624,0.0662
1424548_at,Zgpat,0.8261039,0.0432
1424549_at,Degs2,0.95922524,-0.0098
1424550_at,Zfyve27,0.6490819,-0.1024
1424551_at,Zfyve27,0.62280359,0.0628
1424552_at,Casp8,0.98986127,0.0022
1424553_at,Hhatl,0.75173486,-0.063
1424554_at,Ppp1r8,0.9260043,-0.0112
1424555_at,9430015G10Rik,0.35560386,-0.2646
1424556_at,Pycr1,0.7682487,-0.0688
1424557_at,Zcchc9,0.56615911,-0.0906
1424558_a_at,Cabyr,0.54286238,-0.1088
1424559_at,AW060207,0.77298882,0.0526
1424560_at,Pstpip1,0.79079216,0.0588
1424561_at,Ece2,0.52278889,-0.2248
1424562_a_at,Slc25a4,0.94707224,-0.0066
1424563_at,Slc25a4,0.63614864,0.081
1424564_at,2410001C21Rik,0.96817404,0.005
1424565_at,Polr3d,0.89459251,0.0158
1424566_s_at,Polr3d,0.72095509,-0.0542
1424567_at,Tspan2,0.27613324,0.3872
1424568_at,Tspan2,0.44114871,0.2484
1424569_at,Ddx46,0.75476008,0.0552
1424570_at,Ddx46,0.61728841,0.1368
1424571_at,Ddx46,0.74435243,0.0618
1424572_a_at,H2afy,0.96514103,0.0056
1424573_at,Tmed5,0.75387866,0.0924
1424574_at,Tmed5,0.90403498,-0.0232
1424575_at,Rabl5,0.39521891,-0.143
1424576_s_at,Cyp2c44,0.52526167,-0.1548
1424577_at,Msto1,0.24540114,-0.2184
1424578_at,Arrdc1,0.81017827,-0.0458
1424579_at,Slc35a3,0.45766649,-0.346
1424580_at,Slc35a3,0.89998944,-0.045
1424581_at,Stac2,0.7770531,-0.0768
1424582_at,Mulk,0.71418662,-0.0578
1424583_at,Farp2,0.62639067,-0.0974
1424584_a_at,Ranbp10,0.45828852,-0.07
1424585_at,Ranbp10,0.46855275,-0.1058
1424586_at,Ehbp1,0.73487042,-0.0474
1424587_at,BC023488,0.50027264,0.1042
1424588_at,Srgap3,0.95691695,0.0056
1424589_s_at,Rnpc3,0.85385862,0.0556
1424590_at,Ddx19b,0.88508806,-0.024
1424591_at,5830433M19Rik,0.99752079,-0.0006
1424592_a_at,Dnase1,0.7689655,-0.072
1424593_at,5730461K03Rik,0.4570462,-0.1244
1424594_at,Samd4,0.70000142,-0.067
1424595_at,F11r,0.4273049,-0.1338
1424596_s_at,Lmcd1,0.84068078,-0.0638
1424597_at,ORF19,0.16025881,-0.2292
1424598_at,Ddx6,0.19031984,1.0094
1424599_at,Fgl1,0.67667171,0.1348
1424600_at,Abp1,0.94484918,0.0106
1424601_at,Xrcc4,0.19610882,-0.131
1424602_s_at,Xrcc4,0.53480992,-0.1074
1424603_at,Sumf1,0.77791641,0.07
1424604_s_at,Sumf1,0.68760557,0.093
1424605_at,Pcsk5,0.93653196,-0.0194
1424606_at,Cplx3,0.79953085,0.1662
1424607_a_at,LOC432823,0.93527928,-0.0312
1424608_a_at,BC080727,0.16624921,-0.3368
1424609_a_at,LTR_Affy_1424609_a_at,0.84919718,-0.0758
1424610_at,Trub2,0.32276898,-0.2106
1424611_x_at,Trub2,0.20818734,-0.3028
1424612_at,9330161F08Rik,0.62573876,-0.0858
1424613_at,Gprc5b,0.84336205,-0.0458
1424614_at,Frag1,0.20816427,0.3614
1424615_at,Frag1,0.38235586,0.3984
1424616_s_at,Frag1,0.37036817,0.3522
1424617_at,Ifi35,0.88188788,-0.026
1424618_at,Hpd,0.7006145,-0.0802
1424619_at,Sf3b4,0.78949996,-0.0334
1424620_at,D13Wsu177e,0.27169909,-0.19
1424621_at,Krcc1,0.62139386,0.0924
1424622_at,Hsf1,0.95744942,0.0118
1424623_at,Serpinb5,0.59490012,-0.1246
1424624_at,C16orf45,0.65893338,-0.0556
1424625_a_at,Dennd1a,0.47638512,-0.1578
1424626_at,2010003K11Rik,0.5280943,0.0956
1424627_at,1700006F03Rik,0.67907501,-0.0858
1424628_a_at,Ndufv3,0.30581165,-0.1296
1424629_at,Brca1,0.45826884,-0.2142
1424630_a_at,Brca1,0.58901539,-0.1924
1424631_a_at,Ighg,0.6803883,-0.077
1424632_a_at,Rev3l,0.75808842,-0.0436
1424633_at,Camk1g,0.81695638,-0.0864
1424634_at,Tceal1,0.95879321,-0.009
1424635_at,Eef1a1,0.82553846,-0.0272
1424636_at,2610204L23Rik,0.82481833,0.0348
1424637_s_at,Ccdc47,0.93435468,-0.012
1424638_at,Cdkn1a,0.8016822,-0.0792
1424639_a_at,Hmgcl,0.23034142,-0.139
1424640_at,Arl8a,0.91066889,0.032
1424641_a_at,Thoc1,0.61117165,-0.1194
1424642_at,Thoc1,0.58035322,-0.0744
1424643_at,Tcof1,0.89907674,-0.0226
1424644_at,Tbcc,0.13763598,-0.173
1424645_at,Tnrc6c,0.17801681,-0.2126
1424646_at,Uckl1,0.71606793,-0.0714
1424647_at,Gabrp,0.74983121,0.054
1424648_at,Rabl4,0.41390363,0.4256
1424649_a_at,Tspan8,0.68291019,-0.0716
1424650_at,Pdia5,0.2854306,-0.2018
1424651_at,BC021611,0.2649988,-0.214
1424652_at,Fam176a,0.80670853,-0.069
1424653_at,Tspan15,0.96790642,-0.0072
1424654_at,Acp2,0.38699903,-0.188
1424655_at,Acp2,0.80524722,-0.0358
1424656_s_at,Usp19,0.32864578,-0.1186
1424657_at,Taok1,0.72138673,0.1558
1424658_at,Taok1,0.42165738,0.284
1424659_at,Slit2,0.76444307,0.0968
1424660_s_at,Crtc2,0.82934711,-0.0614
1424661_at,Pmpca,0.92396681,0.0112
1424662_at,Pmpca,0.43851035,-0.0608
1424663_at,BC017647,0.084687355,0.4318
1424664_at,BC017647,0.83978099,-0.035
1424665_at,5430405G24Rik,0.76271172,-0.0654
1424666_at,Gpatch8,0.57528174,0.117
1424667_a_at,Cux1,0.36277472,0.8254
1424668_a_at,Cux1,0.28040825,1.05
1424669_at,Zfyve21,0.96511353,0.0064
1424670_s_at,Zfyve21,0.51364257,0.1054
